iter	Logloss
0	0.6905306243
1	0.6877767651
2	0.6853715466
3	0.6829098681
4	0.6800832104
5	0.6778743593
6	0.6754479994
7	0.6730239584
8	0.6709212329
9	0.6688187967
10	0.6665316531
11	0.6637475548
12	0.6616323838
13	0.6593375542
14	0.6568962563
15	0.654572408
16	0.6518034685
17	0.6499607218
18	0.6481536165
19	0.6463318334
20	0.6443114376
21	0.6422593319
22	0.6405970406
23	0.6387765687
24	0.6367874689
25	0.6346184505
26	0.6324796068
27	0.6309341365
28	0.6289298347
29	0.6271726913
30	0.62530036
31	0.6234887133
32	0.6216170828
33	0.6196866138
34	0.6180647316
35	0.6168999686
36	0.6156476255
37	0.6140267556
38	0.6126858937
39	0.610785153
40	0.6091553442
41	0.6075537759
42	0.6058447991
43	0.6043970459
44	0.6026650583
45	0.6010972932
46	0.5990424193
47	0.5978064648
48	0.5963479207
49	0.5946900706
50	0.5932673217
51	0.5915987392
52	0.5900954622
53	0.5884836983
54	0.5870316141
55	0.5852832152
56	0.5840170652
57	0.5827623627
58	0.5815942534
59	0.5804255882
60	0.5793623814
61	0.5780320916
62	0.5767717391
63	0.5756289361
64	0.5743456263
65	0.5730860526
66	0.5717180309
67	0.5704492379
68	0.5691366989
69	0.5679065033
70	0.566713503
71	0.5653304085
72	0.5641529142
73	0.5631344225
74	0.5619019011
75	0.5609959533
76	0.5596344268
77	0.5585911925
78	0.5575624704
79	0.556519318
80	0.5552571868
81	0.5541937109
82	0.5529965999
83	0.5522448834
84	0.5512898682
85	0.5499226651
86	0.5485590954
87	0.5477078888
88	0.5469238573
89	0.5460890246
90	0.545093819
91	0.54388901
92	0.5428933144
93	0.542324135
94	0.5413924264
95	0.5404571413
96	0.5395319725
97	0.5386517587
98	0.5378101786
99	0.5370616409
100	0.536429011
101	0.5352784852
102	0.5343040125
103	0.5332376737
104	0.5324621137
105	0.5318814683
106	0.531109865
107	0.5304173737
108	0.5293613135
109	0.5286686271
110	0.5278729294
111	0.5273827498
112	0.5267025119
113	0.5257834666
114	0.5247131049
115	0.5242394861
116	0.523301788
117	0.5224068139
118	0.5214375941
119	0.5206633681
120	0.5199687471
121	0.5188375352
122	0.5181417803
123	0.5173780222
124	0.5166157975
125	0.5159448496
126	0.5150619824
127	0.514458062
128	0.5135798
129	0.5124560704
130	0.5117708232
131	0.5110094424
132	0.5104597244
133	0.5098683664
134	0.5092685807
135	0.5087814915
136	0.5080659683
137	0.5075046028
138	0.5067746742
139	0.5063410492
140	0.5059371634
141	0.5053171542
142	0.5047130437
143	0.5041261847
144	0.5036576553
145	0.5029500428
146	0.5023388091
147	0.5016544628
148	0.5008899772
149	0.5003507262
150	0.4995348478
151	0.4989215416
152	0.4981823258
153	0.4976955423
154	0.4965648436
155	0.495998107
156	0.4955082077
157	0.494575288
158	0.4941376567
159	0.4935753192
160	0.4930121188
161	0.4927186
162	0.4920562392
163	0.4912331837
164	0.4906817647
165	0.4901375329
166	0.4896651758
167	0.4892264984
168	0.4882544768
169	0.487511682
170	0.4869971982
171	0.4862783854
172	0.4857778343
173	0.4852910043
174	0.4848671967
175	0.4842657411
176	0.4834379721
177	0.4828641459
178	0.4823982438
179	0.4817671861
180	0.4811412932
181	0.4806934369
182	0.4800463006
183	0.4794394488
184	0.4791740105
185	0.4787984902
186	0.4783846847
187	0.4780418128
188	0.4774929972
189	0.4768113832
190	0.4762404238
191	0.4756236794
192	0.4752271468
193	0.474629812
194	0.4742277949
195	0.4735379654
196	0.4731666348
197	0.4727894688
198	0.4722934913
199	0.4716852629
200	0.4711109664
201	0.4706799328
202	0.4702423756
203	0.4698467785
204	0.4691195544
205	0.4686356124
206	0.4681593654
207	0.4676311921
208	0.4673229228
209	0.4667656395
210	0.4663812638
211	0.4659211479
212	0.4654929751
213	0.4650627866
214	0.4644924673
215	0.4640730328
216	0.4634414082
217	0.4630653252
218	0.462654651
219	0.4624180568
220	0.4619784107
221	0.4616024238
222	0.4613423917
223	0.4607820401
224	0.4601224595
225	0.4597149
226	0.4593336236
227	0.4590432442
228	0.4584140157
229	0.4580325418
230	0.4577134276
231	0.4573204344
232	0.4569084399
233	0.4568513507
234	0.4564390822
235	0.4559322623
236	0.4554960196
237	0.4551489469
238	0.4548339168
239	0.4545957526
240	0.4542639672
241	0.4538928941
242	0.453357197
243	0.4529348377
244	0.452671635
245	0.452149657
246	0.4518932311
247	0.4515472817
248	0.4512990258
249	0.4507390337
250	0.4503860679
251	0.4499675566
252	0.4495967474
253	0.4491679949
254	0.4488210862
255	0.4483278612
256	0.4478357039
257	0.4473660745
258	0.4470763584
259	0.4467466026
260	0.4463370923
261	0.445868493
262	0.4455980813
263	0.4452569648
264	0.4449063386
265	0.4446574523
266	0.4443327187
267	0.4439736954
268	0.4436824313
269	0.4433152431
270	0.4428845755
271	0.4425709943
272	0.4421520993
