iter	Passed	Remaining
0	0	640
1	1	592
2	1	583
3	2	576
4	3	604
5	3	608
6	4	595
7	4	602
8	5	585
9	5	583
10	6	580
11	7	584
12	8	616
13	8	612
14	9	605
15	9	600
16	10	597
17	10	593
18	11	589
19	11	585
20	12	580
21	12	576
22	13	573
23	13	569
24	14	566
25	15	564
26	15	562
27	16	561
28	16	567
29	17	564
30	18	563
31	18	562
32	19	560
33	19	559
34	20	557
35	20	555
36	21	553
37	21	555
38	22	554
39	23	553
40	23	554
41	24	555
42	24	554
43	25	553
44	25	551
45	26	551
46	27	549
47	27	548
48	28	547
49	28	545
50	29	544
51	29	545
52	30	544
53	30	542
54	31	541
55	32	539
56	32	539
57	33	537
58	33	538
59	34	536
60	34	538
61	35	537
62	36	536
63	36	535
64	37	534
65	37	533
66	38	531
67	38	531
68	39	530
69	39	529
70	40	529
71	41	528
72	41	527
73	42	526
74	42	525
75	43	524
76	43	524
77	44	523
78	44	522
79	45	522
80	45	521
81	46	520
82	47	519
83	47	517
84	48	517
85	48	518
86	49	517
87	50	519
88	50	519
89	51	518
90	51	517
91	52	516
92	52	516
93	53	515
94	54	515
95	54	514
96	55	513
97	55	512
98	56	511
99	56	511
100	57	510
101	57	509
102	58	508
103	58	507
104	59	506
105	59	505
106	60	504
107	61	503
108	61	503
109	62	502
110	62	501
111	63	501
112	63	500
113	64	499
114	64	498
115	65	497
116	65	497
117	66	496
118	66	495
119	67	495
120	68	494
121	68	493
122	69	493
123	69	492
124	70	491
125	70	490
126	71	490
127	71	490
128	72	489
129	72	488
130	73	487
131	74	487
132	74	486
133	75	485
134	75	485
135	76	484
136	76	483
137	77	482
138	77	481
139	78	480
140	78	478
141	79	477
142	79	477
143	80	476
144	80	475
145	81	474
146	81	474
147	82	473
148	82	472
149	83	471
150	83	471
151	84	470
152	84	469
153	85	468
154	85	467
155	86	467
156	86	466
157	87	466
158	88	466
159	88	466
160	89	466
161	90	465
162	90	465
163	91	464
164	91	465
165	92	464
166	92	463
167	93	462
168	94	462
169	94	461
170	95	460
171	95	459
172	96	459
173	96	458
174	97	457
175	97	458
176	98	457
177	99	457
178	99	456
179	100	455
180	100	455
181	101	454
182	101	453
183	102	452
184	102	452
185	103	452
186	104	452
187	104	452
188	105	451
189	105	451
190	106	450
191	106	449
192	107	448
193	107	448
194	108	447
195	108	446
196	109	446
197	109	445
198	110	445
199	111	446
200	112	448
201	113	448
202	113	447
203	114	446
204	115	446
205	115	445
206	116	445
207	116	444
208	117	444
209	118	445
210	119	445
211	119	445
212	120	444
213	120	444
214	121	443
215	121	442
216	122	442
217	123	441
218	123	440
219	124	440
220	125	440
221	126	442
222	126	441
223	127	441
224	128	440
225	128	440
226	129	439
227	129	439
228	130	438
229	130	437
230	131	437
231	132	437
232	132	437
233	133	436
234	133	435
235	134	434
236	134	434
237	135	433
238	136	433
239	136	432
240	137	431
241	137	431
242	138	431
243	138	430
244	139	430
245	140	430
246	141	430
247	141	430
248	142	429
249	142	428
250	143	427
251	144	428
252	144	427
253	145	427
254	146	426
255	146	426
256	147	427
257	148	426
258	148	425
259	149	425
260	149	424
261	150	424
262	151	424
263	152	423
264	152	423
265	153	422
266	153	422
267	154	421
268	154	421
269	155	421
270	156	421
271	157	421
272	158	421
273	158	420
274	159	419
275	159	419
276	160	418
277	161	418
278	161	417
279	162	416
280	162	416
281	163	415
282	163	414
283	164	414
284	164	413
285	165	413
286	166	412
287	166	411
288	167	412
289	168	411
290	168	411
291	169	410
292	170	410
293	170	410
294	171	409
295	172	409
296	172	408
297	173	408
298	174	408
299	174	407
300	175	407
301	175	406
302	176	405
303	176	405
304	177	405
305	178	404
306	178	403
307	179	403
308	179	402
309	180	402
310	182	403
311	182	403
312	183	402
313	184	403
314	185	402
315	185	401
316	186	401
317	187	401
318	187	401
319	188	400
320	189	399
321	189	399
322	190	398
323	191	398
324	191	397
325	192	397
326	192	396
327	193	396
328	193	395
329	194	395
330	195	394
331	196	394
332	197	394
333	197	394
334	198	393
335	198	392
336	199	392
337	199	391
338	200	390
339	201	390
340	201	390
341	202	389
342	203	389
343	203	388
344	204	388
345	205	388
346	205	387
347	206	386
348	207	386
349	207	385
350	208	384
351	208	384
352	209	384
353	210	384
354	211	383
355	211	383
356	212	382
357	212	381
358	213	381
359	214	380
360	214	379
361	215	379
362	215	378
363	216	378
364	217	377
365	217	376
366	218	376
367	218	375
368	219	375
369	220	374
370	220	374
371	221	373
372	221	372
373	222	372
374	222	371
375	223	370
376	224	370
377	224	369
378	225	368
379	225	368
380	226	367
381	226	366
382	227	366
383	227	365
384	228	365
385	229	364
386	230	365
387	231	364
388	231	363
389	232	363
390	232	362
391	233	361
392	233	361
393	234	360
394	235	359
395	235	359
396	236	358
397	236	358
398	237	357
399	238	357
400	238	356
401	239	355
402	239	355
403	240	354
404	240	353
405	241	353
406	241	352
407	242	352
408	243	351
409	244	351
410	244	350
411	245	350
412	246	350
413	246	349
414	247	348
415	247	348
416	248	347
417	249	346
418	249	346
419	250	345
420	250	344
421	251	344
422	251	343
423	252	342
424	252	342
425	253	341
426	254	341
427	254	340
428	255	339
429	255	339
430	256	338
431	257	338
432	258	338
433	259	337
434	259	337
435	260	337
436	261	336
437	261	336
438	262	335
439	263	334
440	263	334
441	264	333
442	264	333
443	265	332
444	266	331
445	266	331
446	267	330
447	267	330
448	268	329
449	268	328
450	269	328
451	270	327
452	271	327
453	271	327
454	272	326
455	273	325
456	274	325
457	274	325
458	275	324
459	275	323
460	276	323
461	276	322
462	277	321
463	278	321
464	279	321
465	279	320
466	280	319
467	280	319
468	281	318
469	281	317
470	282	317
471	283	316
472	283	316
473	284	315
474	285	315
475	286	315
476	287	314
477	287	314
478	288	313
479	289	313
480	289	312
481	290	311
482	290	311
483	291	310
484	291	310
485	292	309
486	293	308
487	293	308
488	294	307
489	294	306
490	295	306
491	295	305
492	296	304
493	296	304
494	297	303
495	298	303
496	299	303
497	300	302
498	300	301
499	301	301
500	302	300
501	302	300
502	303	299
503	303	298
504	304	298
505	304	297
506	305	296
507	305	296
508	306	295
509	306	294
510	307	294
511	308	293
512	308	292
513	309	292
514	309	291
515	310	291
516	310	290
517	311	289
518	312	289
519	313	289
520	313	288
521	314	288
522	315	287
523	316	287
524	316	286
525	317	285
526	317	285
527	318	284
528	318	283
529	319	283
530	319	282
531	320	281
532	321	281
533	321	280
534	322	280
535	322	279
536	323	278
537	323	278
538	324	277
539	324	276
540	325	276
541	326	276
542	327	275
543	328	274
544	328	274
545	329	273
546	329	273
547	330	272
548	331	271
549	331	271
550	332	270
551	332	270
552	333	269
553	333	268
554	334	268
555	335	267
556	335	266
557	336	266
558	336	265
559	337	264
560	337	264
561	338	263
562	339	263
563	339	262
564	340	262
565	341	261
566	342	261
567	342	260
568	343	260
569	344	259
570	344	258
571	345	258
572	345	257
573	346	257
574	346	256
575	347	255
576	348	255
577	348	254
578	349	253
579	349	253
580	350	252
581	350	251
582	351	251
583	351	250
584	352	250
585	353	249
586	354	249
587	355	248
588	355	248
589	356	247
590	357	247
591	357	246
592	358	245
593	358	245
594	359	244
595	360	244
596	360	243
597	361	242
598	361	242
599	362	241
600	363	241
601	363	240
602	364	239
603	364	239
604	365	238
605	365	237
606	366	237
607	367	236
608	367	236
609	368	235
610	369	235
611	370	234
612	370	234
613	371	233
614	372	232
615	372	232
616	373	231
617	373	230
618	374	230
619	374	229
620	375	229
621	375	228
622	376	227
623	377	227
624	377	226
625	378	225
626	378	225
627	379	224
628	379	223
629	380	223
630	380	222
631	381	222
632	382	221
633	383	221
634	383	220
635	384	219
636	385	219
637	385	218
638	386	218
639	386	217
640	387	216
641	388	216
642	388	215
643	389	215
644	389	214
645	390	213
646	390	213
647	391	212
648	392	212
649	392	211
650	393	210
651	393	210
652	394	209
653	395	209
654	396	208
655	397	208
656	397	207
657	398	207
658	398	206
659	399	205
660	400	205
661	400	204
662	401	203
663	401	203
664	402	202
665	402	202
666	403	201
667	404	200
668	404	200
669	405	199
670	405	198
671	406	198
672	406	197
673	407	197
674	408	196
675	408	195
676	409	195
677	410	194
678	411	194
679	411	193
680	412	193
681	412	192
682	413	191
683	413	191
684	414	190
685	415	190
686	416	189
687	416	188
688	417	188
689	417	187
690	418	187
691	418	186
692	419	185
693	419	185
694	420	184
695	421	183
696	421	183
697	422	182
698	423	182
699	423	181
700	424	181
701	424	180
702	425	179
703	426	179
704	426	178
705	427	177
706	427	177
707	428	176
708	428	175
709	429	175
710	429	174
711	430	174
712	430	173
713	431	172
714	432	172
715	432	171
716	433	170
717	433	170
718	434	169
719	434	169
720	435	168
721	435	167
722	436	167
723	437	166
724	437	166
725	438	165
726	438	164
727	439	164
728	439	163
729	440	162
730	441	162
731	441	161
732	442	161
733	442	160
734	443	159
735	443	159
736	444	158
737	445	158
738	445	157
739	446	156
740	446	156
741	447	155
742	448	155
743	448	154
744	449	153
745	449	153
746	450	152
747	451	151
748	451	151
749	452	150
750	452	150
751	453	149
752	453	148
753	454	148
754	455	147
755	455	147
756	456	146
757	456	145
758	457	145
759	457	144
760	458	143
761	458	143
762	459	142
763	460	142
764	460	141
765	461	140
766	461	140
767	462	139
768	462	139
769	463	138
770	464	137
771	464	137
772	465	136
773	465	136
774	466	135
775	467	134
776	467	134
777	468	133
778	468	133
779	469	132
780	469	131
781	470	131
782	471	130
783	471	129
784	472	129
785	472	128
786	473	128
787	473	127
788	474	126
789	475	126
790	475	125
791	476	125
792	476	124
793	477	123
794	477	123
795	478	122
796	478	121
797	479	121
798	479	120
799	480	120
800	480	119
801	481	118
802	482	118
803	482	117
804	483	117
805	483	116
806	484	115
807	484	115
808	485	114
809	485	113
810	486	113
811	486	112
812	487	112
813	488	111
814	488	110
815	489	110
816	489	109
817	490	109
818	490	108
819	491	107
820	491	107
821	492	106
822	492	106
823	493	105
824	494	104
825	494	104
826	495	103
827	495	102
828	496	102
829	496	101
830	497	101
831	498	100
832	498	99
833	499	99
834	499	98
835	500	98
836	501	97
837	501	96
838	502	96
839	502	95
840	503	95
841	503	94
842	504	93
843	504	93
844	505	92
845	505	92
846	506	91
847	507	90
848	507	90
849	508	89
850	508	89
851	509	88
852	509	87
853	510	87
854	510	86
855	511	86
856	511	85
857	512	84
858	513	84
859	513	83
860	514	83
861	514	82
862	515	81
863	515	81
864	516	80
865	516	79
866	517	79
867	517	78
868	518	78
869	518	77
870	519	76
871	520	76
872	520	75
873	521	75
874	521	74
875	522	73
876	522	73
877	523	72
878	523	72
879	524	71
880	524	70
881	525	70
882	526	69
883	526	69
884	527	68
885	527	67
886	528	67
887	528	66
888	529	66
889	529	65
890	530	64
891	530	64
892	531	63
893	532	63
894	532	62
895	533	61
896	533	61
897	534	60
898	534	60
899	535	59
900	535	58
901	536	58
902	536	57
903	537	57
904	537	56
905	538	55
906	538	55
907	539	54
908	540	54
909	540	53
910	541	52
911	541	52
912	542	51
913	542	51
914	543	50
915	544	49
916	544	49
917	545	48
918	545	48
919	546	47
920	546	46
921	547	46
922	547	45
923	548	45
924	549	44
925	549	43
926	550	43
927	550	42
928	551	42
929	551	41
930	552	40
931	552	40
932	553	39
933	554	39
934	554	38
935	555	37
936	555	37
937	556	36
938	556	36
939	557	35
940	557	34
941	558	34
942	559	33
